                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.71226,                 1.1972,                 1.3539,                0.55566,                0.75237,                0.64232,                0.44785,                 1.0176,                 1.1256,                 1.8473,              0.0004188,              0.0004188,              0.0004188
                     49,                 0.7233,                 1.1742,                 1.3529,                0.51591,                0.78713,                 0.6392,                0.43542,                 1.0304,                  1.059,                 1.8468,             0.00041118,             0.00041118,             0.00041118
                     50,                0.70821,                 1.1787,                 1.3466,                0.51591,                 0.7496,                0.64108,                0.43343,                  1.061,                 1.0914,                 1.9448,             0.00040357,             0.00040357,             0.00040357
                     51,                0.71979,                 1.1507,                 1.3526,                0.60484,                0.69483,                0.66181,                0.46205,                 1.0241,                 1.0834,                 1.8128,             0.00039596,             0.00039596,             0.00039596
                     52,                0.72957,                 1.1683,                 1.3541,                0.55115,                 0.7537,                0.64624,                0.44543,                 1.0461,                 1.0743,                 1.8422,             0.00038835,             0.00038835,             0.00038835
                     53,                0.71955,                 1.1654,                 1.3471,                0.57157,                0.76064,                0.66024,                0.45551,                 1.0452,                 1.0503,                 1.8429,             0.00038073,             0.00038073,             0.00038073
                     54,                0.71454,                 1.1488,                 1.3467,                0.56166,                0.77486,                0.66921,                0.46245,                 1.0467,                0.99836,                 1.8603,             0.00037312,             0.00037312,             0.00037312
                     55,                 0.7211,                 1.1662,                 1.3559,                0.57502,                0.76612,                0.68001,                0.47235,                 1.0073,                0.95405,                 1.8155,             0.00036551,             0.00036551,             0.00036551
                     56,                0.70468,                 1.1243,                 1.3401,                 0.5434,                0.73159,                0.65064,                0.44562,                 1.0394,                 1.0407,                 1.8418,             0.00035789,             0.00035789,             0.00035789
                     57,                0.70922,                 1.1246,                 1.3466,                0.58049,                  0.754,                0.66655,                0.44739,                 1.1692,                 1.0889,                 1.9814,             0.00035028,             0.00035028,             0.00035028
                     58,                0.69493,                 1.1405,                 1.3336,                0.59462,                0.75386,                0.68227,                0.47403,                 1.0445,                0.99587,                 1.8604,             0.00034267,             0.00034267,             0.00034267
                     59,                0.70475,                  1.116,                 1.3331,                0.56497,                0.75503,                0.68249,                0.47377,                 1.0311,                0.97064,                 1.8226,             0.00033505,             0.00033505,             0.00033505
